datetime,open,high,low,close,volume
2022-06-13 15:43:00,1219.58,1242.84,1206.0,1240.47,78668.1391
2022-06-13 16:10:00,1240.47,1256.97,1218.59,1252.8,66697.2458
2022-06-13 16:42:00,1252.8,1279.74,1238.51,1242.72,83772.7786
2022-06-13 17:25:00,1242.72,1252.73,1219.0,1219.97,55259.4943
2022-06-13 17:58:00,1220.47,1239.54,1209.02,1237.68,38470.7298
2022-06-13 18:59:00,1237.52,1261.0,1231.02,1231.9,57608.1878
2022-06-13 20:04:00,1231.91,1244.99,1217.84,1243.75,60116.8982
2022-06-13 20:26:00,1243.75,1269.89,1242.68,1268.98,24320.3158
2022-06-13 20:46:00,1268.61,1284.33,1245.09,1247.86,31265.2714
2022-06-13 21:42:00,1247.86,1254.63,1223.06,1224.91,31371.6364
2022-06-13 22:48:00,1225.37,1237.19,1205.0,1207.38,44999.515699999996
2022-06-13 23:03:00,1207.39,1213.62,1186.42,1187.53,24325.3653
2022-06-13 23:20:00,1187.54,1199.0,1168.7,1195.44,37644.4933
2022-06-13 23:32:00,1195.88,1203.27,1171.94,1172.74,19532.8258
2022-06-13 23:45:00,1172.74,1197.73,1168.5,1196.89,24228.0522
2022-06-14 00:09:00,1196.89,1223.32,1195.35,1222.27,44197.9635
2022-06-14 00:26:00,1221.92,1225.0,1194.51,1195.1,30236.4043
2022-06-14 00:54:00,1195.09,1224.93,1182.29,1182.57,40881.7727
2022-06-14 01:24:00,1182.56,1187.97,1156.0,1160.91,98873.8925
2022-06-14 01:39:00,1160.91,1162.42,1127.38,1131.01,77482.62922
2022-06-14 01:55:00,1131.07,1138.36,1108.27,1109.74,86563.44828
2022-06-14 02:07:00,1109.75,1126.52,1100.0,1126.52,69448.898
2022-06-14 02:24:00,1126.34,1133.5,1102.79,1104.32,63954.4943
2022-06-14 02:28:00,1104.4,1107.89,1080.21,1081.54,42113.52876
2022-06-14 02:43:00,1081.54,1107.17,1075.8,1104.49,84928.78855
2022-06-14 03:08:00,1104.5,1130.0,1104.02,1126.63,94688.1385
2022-06-14 03:25:00,1126.63,1152.0,1118.85,1147.28,53424.3438
2022-06-14 03:31:00,1147.29,1168.77,1141.61,1167.64,21296.0902
2022-06-14 04:02:00,1167.64,1184.51,1153.26,1183.16,78036.9144
2022-06-14 04:16:00,1183.16,1196.93,1160.72,1163.15,43392.7693
2022-06-14 04:52:00,1163.15,1167.58,1137.39,1138.28,79575.92540000001
2022-06-14 05:04:00,1138.43,1169.43,1136.0,1168.85,32622.8579
2022-06-14 05:16:00,1168.85,1195.33,1165.74,1192.7,42935.1373
2022-06-14 05:21:00,1192.69,1229.3,1188.4,1222.36,34183.8004
2022-06-14 05:22:00,1222.36,1248.66,1217.07,1247.5,9193.9279
2022-06-14 05:24:00,1248.53,1250.2,1220.98,1222.18,11070.500499999998
2022-06-14 06:16:00,1222.17,1245.27,1207.02,1212.62,129877.7349
2022-06-14 06:33:00,1212.62,1235.18,1206.15,1233.41,42389.1997
2022-06-14 07:41:00,1233.42,1248.84,1209.97,1241.16,153813.3941
2022-06-14 08:27:00,1241.18,1254.0,1220.0,1221.59,83269.7751
2022-06-14 09:30:00,1221.59,1236.34,1205.1,1207.61,78786.6884
2022-06-14 09:59:00,1207.6,1218.14,1188.96,1190.94,49697.3459
2022-06-14 10:34:00,1190.93,1205.85,1176.54,1205.06,59142.7923
2022-06-14 11:10:00,1205.06,1205.89,1180.0,1180.79,46140.0625
2022-06-14 11:43:00,1180.79,1184.77,1157.1,1157.87,68007.2792
2022-06-14 12:02:00,1157.87,1184.9,1154.37,1184.09,41078.3338
2022-06-14 12:26:00,1183.88,1186.45,1159.51,1160.69,29414.7304
2022-06-14 12:32:00,1160.69,1186.95,1158.0,1185.44,16267.619200000001
2022-06-14 12:41:00,1185.43,1218.55,1182.85,1212.61,30840.2803
2022-06-14 13:17:00,1212.61,1229.0,1194.61,1223.8,63510.0159
2022-06-14 13:42:00,1223.8,1229.41,1197.17,1198.59,52935.384099999996
2022-06-14 13:59:00,1198.6,1223.8,1188.81,1219.05,40344.58
2022-06-14 14:10:00,1219.05,1229.34,1201.16,1202.36,28370.3745
2022-06-14 14:48:00,1202.36,1221.39,1190.18,1218.43,62175.6675
2022-06-14 15:43:00,1218.24,1242.51,1210.58,1239.8,99950.2579
2022-06-14 16:24:00,1239.81,1268.45,1230.32,1234.0,84724.5369
2022-06-14 17:47:00,1234.04,1244.37,1214.0,1216.05,72121.7477
2022-06-14 19:05:00,1216.05,1231.85,1205.19,1205.72,47315.3787
2022-06-14 20:25:00,1205.72,1211.75,1183.78,1184.87,42545.4062
2022-06-14 21:23:00,1184.87,1197.83,1163.16,1163.55,39517.4261
2022-06-14 23:05:00,1163.55,1187.03,1159.12,1186.63,64505.7737
2022-06-14 23:25:00,1186.64,1206.41,1180.0,1204.81,30463.8996
2022-06-15 00:56:00,1204.7,1221.29,1188.51,1191.64,84977.575
2022-06-15 01:42:00,1191.63,1221.47,1189.61,1221.01,40989.5603
2022-06-15 02:31:00,1221.01,1231.67,1200.0,1201.7,49125.9138
2022-06-15 03:36:00,1201.82,1210.02,1182.58,1183.09,50163.0875
2022-06-15 04:06:00,1183.1,1185.52,1154.0,1157.56,49315.646
2022-06-15 04:13:00,1157.56,1158.78,1127.49,1132.2,31986.6875
2022-06-15 04:35:00,1132.2,1148.77,1122.26,1123.95,58982.9287
2022-06-15 04:47:00,1123.95,1150.46,1121.2,1149.03,32747.951699999998
2022-06-15 05:15:00,1149.03,1151.97,1121.55,1122.98,38136.6118
2022-06-15 05:33:00,1122.98,1129.76,1092.93,1127.12,62674.6964
2022-06-15 06:23:00,1127.12,1136.74,1106.23,1107.7,81126.0672
2022-06-15 06:43:00,1107.7,1132.5,1106.09,1129.99,31608.6884
2022-06-15 07:29:00,1129.99,1142.02,1114.46,1115.71,68751.5367
2022-06-15 07:49:00,1115.71,1117.13,1088.89,1090.0,46760.8971
